sample_order,case_control_pair_id,pair_sequence_within_cohort,sample_role,source_payment_id,paired_source_payment_id,priority_payment_cohort,issue_case_flag,issue_definition_hits,issue_mode,paired_issue_mode,issue_selection_rank,issue_mode_selection_rank,payment_date,month,account_id,entity_id,entity_name,region,country,bank_name,erp_system,purpose,visibility_method,payment_type,currency,amount_local,usd_per_unit,amount_usd,amount_band_usd,amount_band_order,cross_border_flag,cross_border_wire_flag,manual_touch_flag,exception_flag,late_release_flag,repair_minutes,fee_usd,status,payment_type_match,region_match,month_match,amount_band_match,match_deviation_count,match_deviation_detail,amount_band_distance,month_distance,absolute_amount_gap_usd,match_quality,selection_rule_version,sample_purpose,evidence_label,decision_boundary
78,C3-09,9,Non-issue control,P006157,P002715,Cross-border wire only,False,none,Non-issue control,Late-only,0,0,2026-02-13,2026-02,AC0005,E002,Aurelius Home US,NA,United States,Continental Trust,Oracle-E1,Operating,API,Wire,USD,27790.64,1.0,27790.64,>$25k–$50k,3,True,True,False,False,False,0,43.5,Completed,True,True,True,True,0,none,0,0,13316.71,Exact four-field match,W3-PAY-PILOT-v3 · 2026-08-18,Purposive root-cause case-control review; not a prevalence or benefit sample,ACG-DATA / ANALYST-CALC / ANALYST-JUDGMENT,"ANALYST-JUDGMENT pilot design only; supplied extracts only; not a representative sample, root-cause conclusion, execution authorization, or funded-benefit estimate."
79,C3-10,10,Issue case,P004398,P005801,Cross-border wire only,True,late_release_flag,Late-only,Late-only,10,2,2026-04-15,2026-04,AC0021,E006,Aurelius Germany,EMEA,Germany,Continental Trust,SAP-S4,Operating,Spreadsheet,Wire,EUR,37488.45,1.09409065,41015.76,>$25k–$50k,3,True,True,False,False,True,0,43.5,Completed,True,True,True,True,0,none,0,0,13795.09,Exact four-field match,W3-PAY-PILOT-v3 · 2026-08-18,Purposive root-cause case-control review; not a prevalence or benefit sample,ACG-DATA / ANALYST-CALC / ANALYST-JUDGMENT,"ANALYST-JUDGMENT pilot design only; supplied extracts only; not a representative sample, root-cause conclusion, execution authorization, or funded-benefit estimate."
80,C3-10,10,Non-issue control,P005801,P004398,Cross-border wire only,False,none,Non-issue control,Late-only,0,0,2026-04-15,2026-04,AC0033,E009,Aurelius Spain,EMEA,Spain,Meridian Commercial,Legacy-D365,Payroll,Spreadsheet,Wire,EUR,24879.72,1.09409065,27220.67,>$25k–$50k,3,True,True,False,False,False,0,43.5,Completed,True,True,True,True,0,none,0,0,13795.09,Exact four-field match,W3-PAY-PILOT-v3 · 2026-08-18,Purposive root-cause case-control review; not a prevalence or benefit sample,ACG-DATA / ANALYST-CALC / ANALYST-JUDGMENT,"ANALYST-JUDGMENT pilot design only; supplied extracts only; not a representative sample, root-cause conclusion, execution authorization, or funded-benefit estimate."
81,C3-11,11,Issue case,P006643,P005208,Cross-border wire only,True,late_release_flag,Late-only,Late-only,11,3,2026-02-19,2026-02,AC0007,E002,Aurelius Home US,NA,United States,Northbridge Bank,Oracle-E1,Payroll,Host-to-host,Wire,USD,36697.95,1.0,36697.95,>$25k–$50k,3,True,True,False,False,True,0,43.5,Completed,True,False,True,True,1,region,0,0,715.03,Nearest available; deviations documented,W3-PAY-PILOT-v3 · 2026-08-18,Purposive root-cause case-control review; not a prevalence or benefit sample,ACG-DATA / ANALYST-CALC / ANALYST-JUDGMENT,"ANALYST-JUDGMENT pilot design only; supplied extracts only; not a representative sample, root-cause conclusion, execution authorization, or funded-benefit estimate."
82,C3-11,11,Non-issue control,P005208,P006643,Cross-border wire only,False,none,Non-issue control,Late-only,0,0,2026-02-10,2026-02,AC0017,E005,Aurelius UK,EMEA,United Kingdom,Union Atlantic,SAP-S4,Operating,Spreadsheet,Wire,GBP,29003.31,1.28995552,37412.98,>$25k–$50k,3,True,True,False,False,False,0,43.5,Completed,True,False,True,True,1,region,0,0,715.03,Nearest available; deviations documented,W3-PAY-PILOT-v3 · 2026-08-18,Purposive root-cause case-control review; not a prevalence or benefit sample,ACG-DATA / ANALYST-CALC / ANALYST-JUDGMENT,"ANALYST-JUDGMENT pilot design only; supplied extracts only; not a representative sample, root-cause conclusion, execution authorization, or funded-benefit estimate."
83,C3-12,12,Issue case,P001847,P002143,Cross-border wire only,True,late_release_flag,Late-only,Late-only,12,4,2026-04-10,2026-04,AC0012,E003,Aurelius Wellness US,NA,United States,Northbridge Bank,Oracle-E1,Payroll,Host-to-host,Wire,USD,26057.48,1.0,26057.48,>$25k–$50k,3,True,True,False,False,True,0,43.5,Completed,True,True,True,True,0,none,0,0,23462.91,Exact four-field match,W3-PAY-PILOT-v3 · 2026-08-18,Purposive root-cause case-control review; not a prevalence or benefit sample,ACG-DATA / ANALYST-CALC / ANALYST-JUDGMENT,"ANALYST-JUDGMENT pilot design only; supplied extracts only; not a representative sample, root-cause conclusion, execution authorization, or funded-benefit estimate."
84,C3-12,12,Non-issue control,P002143,P001847,Cross-border wire only,False,none,Non-issue control,Late-only,0,0,2026-04-02,2026-04,AC0003,E001,Aurelius Group Holdings,NA,United States,Meridian Commercial,Oracle-E1,Payroll,API,Wire,USD,49520.39,1.0,49520.39,>$25k–$50k,3,True,True,False,False,False,0,43.5,Completed,True,True,True,True,0,none,0,0,23462.91,Exact four-field match,W3-PAY-PILOT-v3 · 2026-08-18,Purposive root-cause case-control review; not a prevalence or benefit sample,ACG-DATA / ANALYST-CALC / ANALYST-JUDGMENT,"ANALYST-JUDGMENT pilot design only; supplied extracts only; not a representative sample, root-cause conclusion, execution authorization, or funded-benefit estimate."
85,C3-13,13,Issue case,P000100,P006250,Cross-border wire only,True,late_release_flag,Late-only,Late-only,13,5,2026-04-14,2026-04,AC0040,E011,Aurelius Australia,APAC,Australia,Continental Trust,SAP-S4,Payroll,Spreadsheet,Wire,AUD,37675.42,0.65351991,24621.64,>$10k–$25k,2,True,True,False,False,True,0,43.5,Completed,True,True,True,True,0,none,0,0,2894.39,Exact four-field match,W3-PAY-PILOT-v3 · 2026-08-18,Purposive root-cause case-control review; not a prevalence or benefit sample,ACG-DATA / ANALYST-CALC / ANALYST-JUDGMENT,"ANALYST-JUDGMENT pilot design only; supplied extracts only; not a representative sample, root-cause conclusion, execution authorization, or funded-benefit estimate."
86,C3-13,13,Non-issue control,P006250,P000100,Cross-border wire only,False,none,Non-issue control,Late-only,0,0,2026-04-29,2026-04,AC0038,E011,Aurelius Australia,APAC,Australia,Pacific Crown,SAP-S4,Operating,Host-to-host,Wire,USD,21727.25,1.0,21727.25,>$10k–$25k,2,True,True,False,False,False,0,43.5,Completed,True,True,True,True,0,none,0,0,2894.39,Exact four-field match,W3-PAY-PILOT-v3 · 2026-08-18,Purposive root-cause case-control review; not a prevalence or benefit sample,ACG-DATA / ANALYST-CALC / ANALYST-JUDGMENT,"ANALYST-JUDGMENT pilot design only; supplied extracts only; not a representative sample, root-cause conclusion, execution authorization, or funded-benefit estimate."
87,C3-14,14,Issue case,P004976,P006681,Cross-border wire only,True,late_release_flag,Late-only,Late-only,14,6,2026-02-05,2026-02,AC0003,E001,Aurelius Group Holdings,NA,United States,Meridian Commercial,Oracle-E1,Payroll,API,Wire,USD,17662.56,1.0,17662.56,>$10k–$25k,2,True,True,False,False,True,0,43.5,Completed,True,True,True,True,0,none,0,0,21.36,Exact four-field match,W3-PAY-PILOT-v3 · 2026-08-18,Purposive root-cause case-control review; not a prevalence or benefit sample,ACG-DATA / ANALYST-CALC / ANALYST-JUDGMENT,"ANALYST-JUDGMENT pilot design only; supplied extracts only; not a representative sample, root-cause conclusion, execution authorization, or funded-benefit estimate."
88,C3-14,14,Non-issue control,P006681,P004976,Cross-border wire only,False,none,Non-issue control,Late-only,0,0,2026-02-05,2026-02,AC0001,E001,Aurelius Group Holdings,NA,United States,Union Atlantic,Oracle-E1,Operating,Spreadsheet,Wire,USD,17683.92,1.0,17683.92,>$10k–$25k,2,True,True,False,False,False,0,43.5,Completed,True,True,True,True,0,none,0,0,21.36,Exact four-field match,W3-PAY-PILOT-v3 · 2026-08-18,Purposive root-cause case-control review; not a prevalence or benefit sample,ACG-DATA / ANALYST-CALC / ANALYST-JUDGMENT,"ANALYST-JUDGMENT pilot design only; supplied extracts only; not a representative sample, root-cause conclusion, execution authorization, or funded-benefit estimate."
89,C3-15,15,Issue case,P002076,P005106,Cross-border wire only,True,late_release_flag,Late-only,Late-only,15,7,2026-03-04,2026-03,AC0042,E012,Aurelius Japan,APAC,Japan,Union Atlantic,Legacy-D365,Collection,Host-to-host,Wire,USD,17342.55,1.0,17342.55,>$10k–$25k,2,True,True,False,False,True,0,43.5,Completed,True,True,True,True,0,none,0,0,2833.01,Exact four-field match,W3-PAY-PILOT-v3 · 2026-08-18,Purposive root-cause case-control review; not a prevalence or benefit sample,ACG-DATA / ANALYST-CALC / ANALYST-JUDGMENT,"ANALYST-JUDGMENT pilot design only; supplied extracts only; not a representative sample, root-cause conclusion, execution authorization, or funded-benefit estimate."
90,C3-15,15,Non-issue control,P005106,P002076,Cross-border wire only,False,none,Non-issue control,Late-only,0,0,2026-03-23,2026-03,AC0038,E011,Aurelius Australia,APAC,Australia,Pacific Crown,SAP-S4,Operating,Host-to-host,Wire,USD,14509.54,1.0,14509.54,>$10k–$25k,2,True,True,False,False,False,0,43.5,Completed,True,True,True,True,0,none,0,0,2833.01,Exact four-field match,W3-PAY-PILOT-v3 · 2026-08-18,Purposive root-cause case-control review; not a prevalence or benefit sample,ACG-DATA / ANALYST-CALC / ANALYST-JUDGMENT,"ANALYST-JUDGMENT pilot design only; supplied extracts only; not a representative sample, root-cause conclusion, execution authorization, or funded-benefit estimate."
91,C4-01,1,Issue case,P000733,P007121,Neither priority cohort,True,exception_flag; status_repaired,Exception/status,Exception/status,1,1,2026-01-19,2026-01,AC0038,E011,Aurelius Australia,APAC,Australia,Pacific Crown,SAP-S4,Operating,Host-to-host,Local transfer,USD,37451.38,1.0,37451.38,>$25k–$50k,3,False,False,False,True,False,73,16.5,Repaired,True,True,True,True,0,none,0,0,1507.27,Exact four-field match,W3-PAY-PILOT-v3 · 2026-08-18,Purposive root-cause case-control review; not a prevalence or benefit sample,ACG-DATA / ANALYST-CALC / ANALYST-JUDGMENT,"ANALYST-JUDGMENT pilot design only; supplied extracts only; not a representative sample, root-cause conclusion, execution authorization, or funded-benefit estimate."
92,C4-01,1,Non-issue control,P007121,P000733,Neither priority cohort,False,none,Non-issue control,Exception/status,0,0,2026-01-27,2026-01,AC0054,E016,Aurelius Global Sourcing,APAC,Singapore,Northbridge Bank,SAP-S4,Collection,Host-to-host,Local transfer,USD,35944.11,1.0,35944.11,>$25k–$50k,3,False,False,False,False,False,0,1.5,Completed,True,True,True,True,0,none,0,0,1507.27,Exact four-field match,W3-PAY-PILOT-v3 · 2026-08-18,Purposive root-cause case-control review; not a prevalence or benefit sample,ACG-DATA / ANALYST-CALC / ANALYST-JUDGMENT,"ANALYST-JUDGMENT pilot design only; supplied extracts only; not a representative sample, root-cause conclusion, execution authorization, or funded-benefit estimate."
93,C4-02,2,Issue case,P005460,P006076,Neither priority cohort,True,exception_flag; status_repaired,Exception/status,Exception/status,2,2,2026-03-04,2026-03,AC0016,E004,Aurelius Canada,NA,Canada,Meridian Commercial,Oracle-E1,Payroll,Spreadsheet,Local transfer,CAD,12909.86,0.7371186,9516.1,≤$10k,1,False,False,False,True,False,73,16.5,Repaired,True,True,True,True,0,none,0,0,7.44,Exact four-field match,W3-PAY-PILOT-v3 · 2026-08-18,Purposive root-cause case-control review; not a prevalence or benefit sample,ACG-DATA / ANALYST-CALC / ANALYST-JUDGMENT,"ANALYST-JUDGMENT pilot design only; supplied extracts only; not a representative sample, root-cause conclusion, execution authorization, or funded-benefit estimate."
94,C4-02,2,Non-issue control,P006076,P005460,Neither priority cohort,False,none,Non-issue control,Exception/status,0,0,2026-03-11,2026-03,AC0014,E004,Aurelius Canada,NA,Canada,Union Atlantic,Oracle-E1,Operating,API,Local transfer,CAD,12923.71,0.73575278,9508.66,≤$10k,1,False,False,False,False,False,0,1.5,Completed,True,True,True,True,0,none,0,0,7.44,Exact four-field match,W3-PAY-PILOT-v3 · 2026-08-18,Purposive root-cause case-control review; not a prevalence or benefit sample,ACG-DATA / ANALYST-CALC / ANALYST-JUDGMENT,"ANALYST-JUDGMENT pilot design only; supplied extracts only; not a representative sample, root-cause conclusion, execution authorization, or funded-benefit estimate."
95,C4-03,3,Issue case,P000078,P006307,Neither priority cohort,True,exception_flag; late_release_flag; status_repaired,Exception/status,Exception/status,3,3,2026-01-23,2026-01,AC0053,E016,Aurelius Global Sourcing,APAC,Singapore,Pacific Crown,SAP-S4,Operating,API,Internal transfer,USD,19234.13,1.0,19234.13,>$10k–$25k,2,False,False,False,True,True,72,16.5,Repaired,True,True,True,True,0,none,0,0,675.99,Exact four-field match,W3-PAY-PILOT-v3 · 2026-08-18,Purposive root-cause case-control review; not a prevalence or benefit sample,ACG-DATA / ANALYST-CALC / ANALYST-JUDGMENT,"ANALYST-JUDGMENT pilot design only; supplied extracts only; not a representative sample, root-cause conclusion, execution authorization, or funded-benefit estimate."
96,C4-03,3,Non-issue control,P006307,P000078,Neither priority cohort,False,none,Non-issue control,Exception/status,0,0,2026-01-19,2026-01,AC0035,E010,Aurelius Singapore,APAC,Singapore,Pacific Crown,SAP-S4,Collection,Host-to-host,Internal transfer,SGD,24512.96,0.75707458,18558.14,>$10k–$25k,2,False,False,False,False,False,0,1.5,Completed,True,True,True,True,0,none,0,0,675.99,Exact four-field match,W3-PAY-PILOT-v3 · 2026-08-18,Purposive root-cause case-control review; not a prevalence or benefit sample,ACG-DATA / ANALYST-CALC / ANALYST-JUDGMENT,"ANALYST-JUDGMENT pilot design only; supplied extracts only; not a representative sample, root-cause conclusion, execution authorization, or funded-benefit estimate."
97,C4-04,4,Issue case,P001640,P004158,Neither priority cohort,True,exception_flag; status_repaired,Exception/status,Exception/status,4,4,2026-05-29,2026-05,AC0006,E002,Aurelius Home US,NA,United States,Pacific Crown,Oracle-E1,Collection,Host-to-host,Local transfer,USD,14604.15,1.0,14604.15,>$10k–$25k,2,False,False,False,True,False,72,16.5,Repaired,True,True,True,True,0,none,0,0,8.37,Exact four-field match,W3-PAY-PILOT-v3 · 2026-08-18,Purposive root-cause case-control review; not a prevalence or benefit sample,ACG-DATA / ANALYST-CALC / ANALYST-JUDGMENT,"ANALYST-JUDGMENT pilot design only; supplied extracts only; not a representative sample, root-cause conclusion, execution authorization, or funded-benefit estimate."
98,C4-04,4,Non-issue control,P004158,P001640,Neither priority cohort,False,none,Non-issue control,Exception/status,0,0,2026-05-08,2026-05,AC0012,E003,Aurelius Wellness US,NA,United States,Northbridge Bank,Oracle-E1,Payroll,Host-to-host,Local transfer,USD,14612.52,1.0,14612.52,>$10k–$25k,2,False,False,False,False,False,0,1.5,Completed,True,True,True,True,0,none,0,0,8.37,Exact four-field match,W3-PAY-PILOT-v3 · 2026-08-18,Purposive root-cause case-control review; not a prevalence or benefit sample,ACG-DATA / ANALYST-CALC / ANALYST-JUDGMENT,"ANALYST-JUDGMENT pilot design only; supplied extracts only; not a representative sample, root-cause conclusion, execution authorization, or funded-benefit estimate."
99,C4-05,5,Issue case,P003954,P002384,Neither priority cohort,True,exception_flag; status_repaired,Exception/status,Exception/status,5,5,2026-05-12,2026-05,AC0001,E001,Aurelius Group Holdings,NA,United States,Union Atlantic,Oracle-E1,Operating,Spreadsheet,ACH,USD,3531.69,1.0,3531.69,≤$10k,1,False,False,False,True,False,72,16.5,Repaired,True,True,True,True,0,none,0,0,101.97,Exact four-field match,W3-PAY-PILOT-v3 · 2026-08-18,Purposive root-cause case-control review; not a prevalence or benefit sample,ACG-DATA / ANALYST-CALC / ANALYST-JUDGMENT,"ANALYST-JUDGMENT pilot design only; supplied extracts only; not a representative sample, root-cause conclusion, execution authorization, or funded-benefit estimate."
100,C4-05,5,Non-issue control,P002384,P003954,Neither priority cohort,False,none,Non-issue control,Exception/status,0,0,2026-05-11,2026-05,AC0005,E002,Aurelius Home US,NA,United States,Continental Trust,Oracle-E1,Operating,API,ACH,USD,3429.72,1.0,3429.72,≤$10k,1,False,False,False,False,False,0,1.5,Completed,True,True,True,True,0,none,0,0,101.97,Exact four-field match,W3-PAY-PILOT-v3 · 2026-08-18,Purposive root-cause case-control review; not a prevalence or benefit sample,ACG-DATA / ANALYST-CALC / ANALYST-JUDGMENT,"ANALYST-JUDGMENT pilot design only; supplied extracts only; not a representative sample, root-cause conclusion, execution authorization, or funded-benefit estimate."
101,C4-06,6,Issue case,P006023,P002379,Neither priority cohort,True,exception_flag; status_repaired,Exception/status,Exception/status,6,6,2026-06-19,2026-06,AC0050,E015,Aurelius Hong Kong,APAC,Hong Kong,Union Atlantic,SAP-S4,Operating,Portal,ACH,HKD,9091.11,0.13279971,1207.3,≤$10k,1,False,False,False,True,False,72,16.5,Repaired,True,True,True,True,0,none,0,0,71.87,Exact four-field match,W3-PAY-PILOT-v3 · 2026-08-18,Purposive root-cause case-control review; not a prevalence or benefit sample,ACG-DATA / ANALYST-CALC / ANALYST-JUDGMENT,"ANALYST-JUDGMENT pilot design only; supplied extracts only; not a representative sample, root-cause conclusion, execution authorization, or funded-benefit estimate."
102,C4-06,6,Non-issue control,P002379,P006023,Neither priority cohort,False,none,Non-issue control,Exception/status,0,0,2026-06-01,2026-06,AC0050,E015,Aurelius Hong Kong,APAC,Hong Kong,Union Atlantic,SAP-S4,Operating,Portal,ACH,HKD,9572.49,0.13362948,1279.17,≤$10k,1,False,False,False,False,False,0,1.5,Completed,True,True,True,True,0,none,0,0,71.87,Exact four-field match,W3-PAY-PILOT-v3 · 2026-08-18,Purposive root-cause case-control review; not a prevalence or benefit sample,ACG-DATA / ANALYST-CALC / ANALYST-JUDGMENT,"ANALYST-JUDGMENT pilot design only; supplied extracts only; not a representative sample, root-cause conclusion, execution authorization, or funded-benefit estimate."
103,C4-07,7,Issue case,P006124,P002833,Neither priority cohort,True,exception_flag; status_rejected,Exception/status,Exception/status,7,7,2026-03-17,2026-03,AC0049,E014,Aurelius India,APAC,India,Pacific Crown,Legacy-D365,Payroll,API,ACH,USD,2516.03,1.0,2516.03,≤$10k,1,False,False,False,True,False,71,16.5,Rejected,True,True,True,True,0,none,0,0,46.44,Exact four-field match,W3-PAY-PILOT-v3 · 2026-08-18,Purposive root-cause case-control review; not a prevalence or benefit sample,ACG-DATA / ANALYST-CALC / ANALYST-JUDGMENT,"ANALYST-JUDGMENT pilot design only; supplied extracts only; not a representative sample, root-cause conclusion, execution authorization, or funded-benefit estimate."
104,C4-07,7,Non-issue control,P002833,P006124,Neither priority cohort,False,none,Non-issue control,Exception/status,0,0,2026-03-05,2026-03,AC0038,E011,Aurelius Australia,APAC,Australia,Pacific Crown,SAP-S4,Operating,Host-to-host,ACH,USD,2562.47,1.0,2562.47,≤$10k,1,False,False,False,False,False,0,1.5,Completed,True,True,True,True,0,none,0,0,46.44,Exact four-field match,W3-PAY-PILOT-v3 · 2026-08-18,Purposive root-cause case-control review; not a prevalence or benefit sample,ACG-DATA / ANALYST-CALC / ANALYST-JUDGMENT,"ANALYST-JUDGMENT pilot design only; supplied extracts only; not a representative sample, root-cause conclusion, execution authorization, or funded-benefit estimate."
105,C4-08,8,Issue case,P006988,P004276,Neither priority cohort,True,exception_flag; status_repaired,Exception/status,Exception/status,8,8,2026-03-23,2026-03,AC0028,E008,Aurelius Netherlands,EMEA,Netherlands,Meridian Commercial,SAP-S4,Operating,Host-to-host,Local transfer,EUR,5272.63,1.11428415,5875.21,≤$10k,1,False,False,False,True,False,70,16.5,Repaired,True,True,True,True,0,none,0,0,6.46,Exact four-field match,W3-PAY-PILOT-v3 · 2026-08-18,Purposive root-cause case-control review; not a prevalence or benefit sample,ACG-DATA / ANALYST-CALC / ANALYST-JUDGMENT,"ANALYST-JUDGMENT pilot design only; supplied extracts only; not a representative sample, root-cause conclusion, execution authorization, or funded-benefit estimate."
106,C4-08,8,Non-issue control,P004276,P006988,Neither priority cohort,False,none,Non-issue control,Exception/status,0,0,2026-03-23,2026-03,AC0033,E009,Aurelius Spain,EMEA,Spain,Meridian Commercial,Legacy-D365,Payroll,Spreadsheet,Local transfer,EUR,5278.43,1.11428415,5881.67,≤$10k,1,False,False,False,False,False,0,1.5,Completed,True,True,True,True,0,none,0,0,6.46,Exact four-field match,W3-PAY-PILOT-v3 · 2026-08-18,Purposive root-cause case-control review; not a prevalence or benefit sample,ACG-DATA / ANALYST-CALC / ANALYST-JUDGMENT,"ANALYST-JUDGMENT pilot design only; supplied extracts only; not a representative sample, root-cause conclusion, execution authorization, or funded-benefit estimate."
107,C4-09,9,Issue case,P004189,P007166,Neither priority cohort,True,late_release_flag,Late-only,Late-only,9,1,2026-02-09,2026-02,AC0049,E014,Aurelius India,APAC,India,Pacific Crown,Legacy-D365,Payroll,API,Local transfer,USD,300866.5,1.0,300866.5,>$100k,5,False,False,False,False,True,0,1.5,Completed,True,True,True,True,0,none,0,0,15838.91,Exact four-field match,W3-PAY-PILOT-v3 · 2026-08-18,Purposive root-cause case-control review; not a prevalence or benefit sample,ACG-DATA / ANALYST-CALC / ANALYST-JUDGMENT,"ANALYST-JUDGMENT pilot design only; supplied extracts only; not a representative sample, root-cause conclusion, execution authorization, or funded-benefit estimate."
108,C4-09,9,Non-issue control,P007166,P004189,Neither priority cohort,False,none,Non-issue control,Late-only,0,0,2026-02-26,2026-02,AC0042,E012,Aurelius Japan,APAC,Japan,Union Atlantic,Legacy-D365,Collection,Host-to-host,Local transfer,USD,285027.59,1.0,285027.59,>$100k,5,False,False,False,False,False,0,1.5,Completed,True,True,True,True,0,none,0,0,15838.91,Exact four-field match,W3-PAY-PILOT-v3 · 2026-08-18,Purposive root-cause case-control review; not a prevalence or benefit sample,ACG-DATA / ANALYST-CALC / ANALYST-JUDGMENT,"ANALYST-JUDGMENT pilot design only; supplied extracts only; not a representative sample, root-cause conclusion, execution authorization, or funded-benefit estimate."
109,C4-10,10,Issue case,P002068,P002552,Neither priority cohort,True,late_release_flag,Late-only,Late-only,10,2,2026-06-04,2026-06,AC0025,E007,Aurelius France,EMEA,France,Meridian Commercial,SAP-S4,Operating,Spreadsheet,Tax,EUR,213656.07,1.09873967,234752.4,>$100k,5,False,False,False,False,True,0,1.5,Completed,True,True,True,True,0,none,0,0,26374.09,Exact four-field match,W3-PAY-PILOT-v3 · 2026-08-18,Purposive root-cause case-control review; not a prevalence or benefit sample,ACG-DATA / ANALYST-CALC / ANALYST-JUDGMENT,"ANALYST-JUDGMENT pilot design only; supplied extracts only; not a representative sample, root-cause conclusion, execution authorization, or funded-benefit estimate."
110,C4-10,10,Non-issue control,P002552,P002068,Neither priority cohort,False,none,Non-issue control,Late-only,0,0,2026-06-15,2026-06,AC0017,E005,Aurelius UK,EMEA,United Kingdom,Union Atlantic,SAP-S4,Operating,Spreadsheet,Tax,GBP,155111.25,1.34341197,208378.31,>$100k,5,False,False,False,False,False,0,1.5,Completed,True,True,True,True,0,none,0,0,26374.09,Exact four-field match,W3-PAY-PILOT-v3 · 2026-08-18,Purposive root-cause case-control review; not a prevalence or benefit sample,ACG-DATA / ANALYST-CALC / ANALYST-JUDGMENT,"ANALYST-JUDGMENT pilot design only; supplied extracts only; not a representative sample, root-cause conclusion, execution authorization, or funded-benefit estimate."
111,C4-11,11,Issue case,P006052,P006964,Neither priority cohort,True,late_release_flag,Late-only,Late-only,11,3,2026-02-25,2026-02,AC0008,E002,Aurelius Home US,NA,United States,Pacific Crown,Oracle-E1,Tax,Portal,Payroll,USD,231907.46,1.0,231907.46,>$100k,5,False,False,False,False,True,0,1.5,Completed,True,True,True,True,0,none,0,0,8111.64,Exact four-field match,W3-PAY-PILOT-v3 · 2026-08-18,Purposive root-cause case-control review; not a prevalence or benefit sample,ACG-DATA / ANALYST-CALC / ANALYST-JUDGMENT,"ANALYST-JUDGMENT pilot design only; supplied extracts only; not a representative sample, root-cause conclusion, execution authorization, or funded-benefit estimate."
112,C4-11,11,Non-issue control,P006964,P006052,Neither priority cohort,False,none,Non-issue control,Late-only,0,0,2026-02-13,2026-02,AC0007,E002,Aurelius Home US,NA,United States,Northbridge Bank,Oracle-E1,Payroll,Host-to-host,Payroll,USD,223795.82,1.0,223795.82,>$100k,5,False,False,False,False,False,0,1.5,Completed,True,True,True,True,0,none,0,0,8111.64,Exact four-field match,W3-PAY-PILOT-v3 · 2026-08-18,Purposive root-cause case-control review; not a prevalence or benefit sample,ACG-DATA / ANALYST-CALC / ANALYST-JUDGMENT,"ANALYST-JUDGMENT pilot design only; supplied extracts only; not a representative sample, root-cause conclusion, execution authorization, or funded-benefit estimate."
113,C4-12,12,Issue case,P001314,P006128,Neither priority cohort,True,late_release_flag,Late-only,Late-only,12,4,2026-03-05,2026-03,AC0021,E006,Aurelius Germany,EMEA,Germany,Continental Trust,SAP-S4,Operating,Spreadsheet,Wire,EUR,185997.92,1.1193372,208194.39,>$100k,5,False,False,False,False,True,0,19.5,Completed,True,True,True,True,0,none,0,0,57783.71,Exact four-field match,W3-PAY-PILOT-v3 · 2026-08-18,Purposive root-cause case-control review; not a prevalence or benefit sample,ACG-DATA / ANALYST-CALC / ANALYST-JUDGMENT,"ANALYST-JUDGMENT pilot design only; supplied extracts only; not a representative sample, root-cause conclusion, execution authorization, or funded-benefit estimate."
114,C4-12,12,Non-issue control,P006128,P001314,Neither priority cohort,False,none,Non-issue control,Late-only,0,0,2026-03-11,2026-03,AC0021,E006,Aurelius Germany,EMEA,Germany,Continental Trust,SAP-S4,Operating,Spreadsheet,Wire,EUR,134471.69,1.11853046,150410.68,>$100k,5,False,False,False,False,False,0,19.5,Completed,True,True,True,True,0,none,0,0,57783.71,Exact four-field match,W3-PAY-PILOT-v3 · 2026-08-18,Purposive root-cause case-control review; not a prevalence or benefit sample,ACG-DATA / ANALYST-CALC / ANALYST-JUDGMENT,"ANALYST-JUDGMENT pilot design only; supplied extracts only; not a representative sample, root-cause conclusion, execution authorization, or funded-benefit estimate."
115,C4-13,13,Issue case,P002646,P005591,Neither priority cohort,True,late_release_flag,Late-only,Late-only,13,5,2026-06-18,2026-06,AC0028,E008,Aurelius Netherlands,EMEA,Netherlands,Meridian Commercial,SAP-S4,Operating,Host-to-host,Payroll,EUR,144667.37,1.09524857,158446.73,>$100k,5,False,False,False,False,True,0,1.5,Completed,True,True,True,True,0,none,0,0,4548.2,Exact four-field match,W3-PAY-PILOT-v3 · 2026-08-18,Purposive root-cause case-control review; not a prevalence or benefit sample,ACG-DATA / ANALYST-CALC / ANALYST-JUDGMENT,"ANALYST-JUDGMENT pilot design only; supplied extracts only; not a representative sample, root-cause conclusion, execution authorization, or funded-benefit estimate."
116,C4-13,13,Non-issue control,P005591,P002646,Neither priority cohort,False,none,Non-issue control,Late-only,0,0,2026-06-11,2026-06,AC0019,E005,Aurelius UK,EMEA,United Kingdom,Union Atlantic,SAP-S4,Payroll,Host-to-host,Payroll,GBP,122825.74,1.32704212,162994.93,>$100k,5,False,False,False,False,False,0,1.5,Completed,True,True,True,True,0,none,0,0,4548.2,Exact four-field match,W3-PAY-PILOT-v3 · 2026-08-18,Purposive root-cause case-control review; not a prevalence or benefit sample,ACG-DATA / ANALYST-CALC / ANALYST-JUDGMENT,"ANALYST-JUDGMENT pilot design only; supplied extracts only; not a representative sample, root-cause conclusion, execution authorization, or funded-benefit estimate."
